

gen best mean std
0 75.021114 1.22086 17.228835
0 87.139358 6.419206 24.253345
1 87.139358 11.272242 28.839833
2 87.139358 16.177996 30.596423
3 87.139358 21.428359 31.773958
4 87.139358 27.337902 33.57552
5 87.139358 36.159043 32.479661
6 87.151054 38.826442 33.505186
7 87.151054 42.809315 31.350198
8 87.151054 47.028947 31.581261
9 87.199358 47.59606 30.538224
10 87.199358 54.501235 26.708471
11 89.043229 55.195991 27.742239
12 89.043229 56.936641 26.725065
13 89.043229 60.229485 24.208573
14 89.043229 62.430067 23.383995
15 89.043229 64.936972 21.654794
16 89.359361 65.393975 22.621496
17 89.359361 68.199229 20.259467
18 89.359361 63.845534 26.246633
19 89.359361 67.38101 22.769313
20 89.359361 69.95295 19.891019
21 89.359361 66.5748 23.514391
22 89.419361 67.153726 24.362585
23 89.419361 67.442317 23.189345
24 89.419361 68.656076 23.548789
25 89.419361 70.103637 21.158546
26 89.419361 64.029344 27.395606
27 89.463229 68.196739 24.377026
28 89.463229 68.148483 25.1217
29 89.463229 70.199479 21.871822
30 89.463229 72.059512 19.581442
31 90.01505 68.754534 24.395905
32 90.01505 69.909639 22.02685
33 90.01505 71.479697 22.155862
34 90.01505 72.161035 22.612199
35 90.01505 76.406164 15.977451
36 90.01505 73.848412 20.599663
37 90.01505 72.731694 23.067114
38 90.01505 73.918426 23.793264
39 90.01505 76.75039 19.061257
40 90.01505 78.76526 17.812203
41 90.01505 72.615089 25.196368
42 90.01505 76.289462 20.483184
43 90.01505 76.222428 21.943773
44 90.01505 75.820847 23.543074
45 90.01505 79.59231 17.579426
46 90.01505 76.750137 23.497132
47 90.01505 73.824778 26.450632
48 90.01505 76.508449 24.546068
49 90.01505 76.660271 23.970259
