

gen best mean std
0 19.760643 -4.231852 5.285642
0 28.779174 -2.583486 7.552895
1 32.466898 -1.647177 8.839245
2 32.466898 -2.478459 8.411439
3 32.466898 -1.781614 9.023704
4 32.466898 -0.162011 10.174015
5 33.973596 -0.321052 9.840633
6 37.842633 0.060027 10.696075
7 44.605096 1.067585 11.035959
8 44.605096 3.012043 12.036613
9 44.605096 4.428213 12.40494
10 44.605096 5.493028 12.824449
11 44.605096 7.369964 13.236097
12 44.605096 8.67796 12.413913
13 44.605096 10.618217 12.849337
14 44.605096 11.925686 12.645444
15 44.605096 14.390065 11.215001
16 56.247911 13.098979 13.106522
17 56.247911 14.118171 12.994144
18 56.247911 13.535826 13.358886
19 56.247911 14.857758 13.057997
20 56.247911 16.957851 11.34361
21 56.247911 16.030519 11.914566
22 60.718921 16.881598 12.280013
23 60.718921 16.968806 12.311767
24 60.718921 18.085778 11.614829
25 60.718921 19.140264 12.226702
26 60.718921 18.411027 12.750589
27 60.718921 19.493822 12.502447
28 60.718921 20.478072 13.129829
29 60.718921 21.462366 13.212846
30 60.737795 24.565043 12.18751
31 69.550998 23.800418 13.308803
32 69.550998 23.530974 13.417799
33 69.563455 24.212217 14.296252
34 69.563455 24.224816 14.031629
35 69.563455 26.742536 14.942512
36 69.563455 25.316871 15.800753
37 69.563455 26.426886 15.187496
38 69.563455 26.896408 14.92375
39 69.569907 28.126329 15.453621
40 69.58163 29.582826 15.060633
41 69.58163 28.027363 17.839741
42 77.405112 29.77993 16.847149
43 77.405112 29.843061 16.478132
44 77.405112 31.270425 16.362938
45 77.405112 31.516951 16.27355
46 77.405112 30.671502 17.048628
47 77.405112 31.427482 18.547149
48 77.405112 31.343013 18.316721
49 77.405112 32.595184 16.961268

gen best mean std
49 77.405112 32.595184 16.961268
49 77.405112 30.650499 16.929919

gen best mean std
49 77.405112 30.650499 16.929919
49 77.405112 30.929199 17.218055

gen best mean std
49 77.405112 30.929199 17.218055
49 77.405112 31.550364 16.337665

gen best mean std
49 77.405112 31.550364 16.337665
49 77.405112 31.347616 17.165161

gen best mean std
49 77.405112 31.347616 17.165161
49 77.405112 32.234669 16.513477

gen best mean std
49 77.405112 32.234669 16.513477
49 77.405112 32.339361 16.989996

gen best mean std
49 77.405112 32.339361 16.989996
49 77.405112 31.874413 15.912731
