

gen best mean std
0 30.010963 -4.202141 5.860441
0 46.759179 -2.367051 8.308551
1 46.759179 -1.70235 9.221879
2 46.759179 -0.172602 10.092539
3 46.759179 1.308663 11.589671
4 46.759179 1.902885 12.025352
5 46.759179 3.258965 12.238416
6 46.759179 5.195586 13.244725
7 48.304497 6.978711 13.247271
8 48.304497 8.313069 13.497384
9 48.304497 10.154813 13.700305
10 48.304497 11.730567 12.908386
11 48.304497 12.296284 13.039966
12 53.215837 14.061364 12.994099
13 53.215837 15.187062 12.304549
14 53.962706 16.704373 12.452157
15 60.841627 17.937042 11.928375
16 60.841627 18.253445 11.986914
17 60.841627 19.44408 12.280579
18 60.841627 20.526317 11.649709
19 65.09028 19.887128 12.438512
20 65.09028 21.108178 11.427585
21 65.09028 21.647429 12.448418
22 65.09028 21.678385 12.555335
23 65.09028 21.915751 12.760327
24 65.09028 21.983912 13.304473
25 67.554909 23.234499 11.960079
26 67.554909 22.522345 13.190198
27 77.328594 23.013133 13.624856
28 77.328594 23.710601 13.725261
29 77.328594 24.351317 13.152073
30 77.328594 25.150375 12.783616
31 77.328594 24.705089 12.816733
32 77.328594 25.046549 14.107462
33 77.824462 25.805995 13.188698
34 77.824462 26.483176 13.454354
35 77.824462 28.234604 12.187676
36 77.824462 28.618652 13.137576
37 77.824462 28.690313 13.853875
38 77.824462 29.375845 13.5129
39 77.824462 30.832431 14.168052
40 77.824462 30.444266 14.197346
41 77.824462 31.595312 15.06113
42 77.824462 32.070206 15.533857
43 77.824462 33.033428 14.411187
44 84.967615 34.039704 14.80288
45 86.263583 34.657188 14.727166
46 86.263583 35.266394 14.886729
47 86.263583 34.431396 15.395231
48 86.263583 35.544788 15.533622
49 86.263583 35.998336 15.455156
50 86.263583 38.087241 14.067874
51 86.263583 37.498214 15.743692
52 86.263583 37.971811 15.478324
53 91.741045 38.491889 15.623733
54 91.741045 39.207251 15.833667
55 91.741045 40.015328 14.846495
56 91.741045 39.282218 17.622783
57 91.741045 38.937703 16.193301
58 91.741045 41.21132 16.223379
59 91.741045 40.643252 16.09303
60 91.741045 42.034836 16.932165
61 91.741045 40.410969 17.156101
62 91.741045 41.337431 16.963607
63 91.741045 43.438323 16.873135
64 91.741045 44.360055 16.507594
65 92.513326 45.006812 17.361151
66 92.513326 43.588202 18.103107
67 92.513326 43.979023 18.066745
68 92.513326 43.226843 17.571524
69 92.513326 43.595958 18.853985
70 92.513326 43.908005 18.959887
71 92.513326 44.518798 18.198784
72 92.513326 43.962822 17.180468
73 92.513326 43.335625 17.438997
74 92.513326 43.742634 18.061759
75 92.513326 45.101844 17.817025
76 92.513326 43.18901 19.725704
77 92.513326 43.64778 19.339265
78 92.513326 43.710696 19.312853
79 92.513326 43.685243 18.950935
80 92.513326 45.195314 17.910176
81 92.513326 44.904326 19.903237
82 92.513326 44.523821 19.170838
83 92.513326 44.48164 19.793977
84 92.513326 45.302272 19.58102
85 92.513326 46.273562 19.813731
86 92.513326 44.823954 20.69526
87 92.513326 47.135586 20.714903
88 92.513326 47.439083 20.28312
89 92.513326 48.429233 20.661223
90 92.536937 50.04951 20.221904
91 92.536937 48.398021 20.6014
92 92.536937 47.94132 21.786209
93 92.536937 48.137597 22.140869
94 92.536937 47.832366 23.422815
95 92.536937 46.906162 23.870558
96 92.536937 48.786332 22.698069
97 92.536937 48.988323 23.180774
98 92.536937 49.012207 23.412212
99 92.536937 47.933741 22.920619
100 92.536937 49.57682 23.58687
101 92.536937 50.000952 23.154971
102 92.558364 48.262748 23.936064
103 92.558364 47.724503 24.727822
104 92.558364 47.389415 23.795701
105 92.558364 48.411915 22.942052
106 92.572907 46.800797 23.761223
107 92.572907 47.30212 22.657954
108 92.572907 47.327739 22.966917
109 92.572907 47.409826 23.209946
110 92.572907 48.373663 22.153614
111 92.572907 47.842237 23.709896
112 92.572907 49.005146 22.229976
113 92.584788 49.476151 22.167935
114 92.584788 47.354038 22.22864
115 92.584788 47.850237 21.35573
116 92.584788 45.61398 23.138985
117 92.584788 47.034167 21.766983
118 92.584788 49.754373 21.187965
119 92.584788 47.759849 21.559607
120 92.584788 48.83802 21.03538
121 92.584788 46.703938 22.100196
122 92.584788 48.762256 21.354137
123 92.584788 47.019538 20.822749
124 92.584788 47.520176 21.096496
125 92.584788 48.958992 19.152697
126 92.584788 47.185602 21.288898
127 92.584788 47.330335 21.883033
