

gen best mean std
0 87.177882 0.858738 18.289169
0 87.177882 2.714852 20.086691
1 88.954547 7.274098 25.865596
2 88.954547 12.712857 29.069153
3 88.954547 14.923907 29.635578
4 88.954547 22.126194 32.165638
5 88.954547 30.798778 32.390073
6 88.954547 33.518115 32.706895
7 88.954547 37.15628 33.217551
8 88.954547 42.578182 32.036226
9 88.954547 46.212787 31.16563
10 88.954547 54.595014 27.410606
11 89.043229 49.546245 29.811408
12 89.046794 54.902145 26.591574
13 89.046794 56.528134 26.016364
14 89.046794 58.016449 23.895769
15 89.046794 60.55476 21.781034
16 89.046794 60.034054 22.519776
17 89.046794 59.338661 23.064798
18 89.061683 63.841772 18.57785
19 89.061683 63.696469 17.85711
20 89.061683 66.496242 14.596823
21 89.061683 62.594215 18.977288
22 89.061683 62.081985 20.193993
23 89.283229 63.536159 20.662282
24 89.283229 63.679168 21.271635
25 89.283229 67.785109 15.135243
26 89.283229 67.152354 18.461067
27 89.343229 70.171316 15.548093
28 89.343229 69.327464 20.091407
29 89.343229 71.039538 19.66252
30 89.343229 73.333245 16.89776
31 89.343229 73.699196 18.792895
32 89.343229 72.47022 20.456019
33 89.343229 73.335721 19.320578
34 89.343229 73.58079 18.843086
35 89.343229 75.916841 16.538922
36 89.343229 75.297255 17.104798
37 89.343229 75.399641 18.72435
38 89.492892 74.527948 20.358657
39 89.492892 76.422235 18.14227
40 89.492892 76.807796 18.18917
41 89.492892 72.487861 24.225685
42 89.492892 73.435885 24.772728
43 89.492892 73.707653 23.783157
44 89.492892 73.523511 23.1191
45 89.492892 77.75501 16.22764
46 89.492892 72.82106 24.159972
47 89.661683 75.053499 22.609064
48 89.661683 73.677541 23.637115
49 89.661683 75.859382 21.159721

gen best mean std
49 89.661683 75.859382 21.159721

gen best mean std
49 89.661683 75.859382 21.159721
