

gen best mean std
0 13.801356 -5.588835 3.663359
0 23.038632 -4.495771 5.488742
1 23.857345 -4.267991 5.759051
2 30.2093 -3.334822 7.0069
3 30.2093 -3.363787 7.436762
4 33.733197 -2.062316 7.987373
5 33.733197 -0.957474 8.383631
6 33.742019 -0.651561 8.967311
7 33.742019 0.0975 9.962637
8 33.742019 1.446367 10.368391
9 34.503635 2.584579 10.737967
10 34.503635 3.930779 10.905544
11 37.586237 4.727253 10.969614
12 37.586237 5.941286 11.012636
13 37.586237 5.98808 11.526056
14 37.586237 7.387788 11.327865
15 44.272218 8.448592 11.053526
16 44.272218 8.987058 11.214986
17 44.272218 9.657652 10.893316
18 44.272218 9.752496 10.957141
19 44.272218 11.194608 11.046549
20 44.272218 11.821635 10.450766
21 44.272218 11.154615 10.723794
22 44.272218 11.13588 11.257851
23 44.272218 11.457128 10.866941
24 44.272218 12.003971 10.229215
25 44.272218 12.73069 9.605011
26 44.272218 13.733516 9.614758
27 50.089934 13.829062 10.367622
28 50.089934 13.620509 10.377704
29 50.089934 15.394162 9.953077
30 50.089934 15.371255 9.572345
31 50.089934 15.404796 9.91521
32 50.089934 15.259978 10.227083
33 50.089934 15.535402 9.953433
34 50.089934 15.651164 9.426121
35 50.089934 15.908708 8.71712
36 50.089934 16.131711 8.899339
37 50.089934 15.702421 9.772246
38 53.70875 15.653736 9.330025
39 53.70875 16.653151 8.961619
40 53.70875 16.981497 9.150645
41 53.70875 17.091942 9.540205
42 53.70875 17.113484 9.72674
43 53.70875 17.049334 9.981811
44 53.70875 16.529331 9.722675
45 53.70875 17.640701 9.484825
46 53.70875 17.041833 10.117711
47 53.70875 17.520952 10.248345
48 53.70875 17.583213 10.343561
49 53.70875 17.772235 10.141776
50 53.70875 18.393463 9.535661
51 58.727842 18.095218 10.242614
52 58.727842 18.549029 10.009105
53 58.727842 18.380732 10.309086
54 58.727842 19.023594 10.090263
55 58.727842 19.057117 9.841511
56 58.727842 19.454531 10.252937
57 58.727842 20.784352 10.325762
58 58.727842 19.67198 10.95586
59 58.727842 19.374659 10.827137
60 58.727842 19.375063 10.716435
61 58.727842 19.234003 11.097487
62 58.727842 19.645663 10.864555
63 58.727842 19.551049 11.268909
64 58.727842 20.117104 11.10869
65 58.727842 20.491675 11.152069
66 58.727842 20.308952 11.470595
67 58.727842 20.619626 11.771154
68 58.727842 21.005051 12.350839
69 58.727842 21.2845 11.723546
70 58.727842 21.825757 10.971364

gen best mean std
70 58.727842 21.825757 10.971364

gen best mean std
70 58.727842 21.825757 10.971364
