

gen best mean std
0 38.017481 -4.470476 5.901972
0 38.017481 -2.625348 7.631505
1 38.017481 -1.730975 8.048092
2 38.017481 -0.119494 9.336543
3 38.017481 -0.00821 9.841998
4 40.821518 1.143202 9.863199
5 40.821518 2.400572 10.247612
6 40.821518 3.572392 11.247073
7 40.821518 3.391597 10.314788
8 53.466559 3.738755 11.214572
9 53.466559 5.060661 11.010948
10 53.466559 6.381733 10.953513
11 53.466559 6.345036 11.034738
12 53.466559 7.215089 11.240306
13 53.466559 6.994736 11.566859
14 53.466559 8.02587 11.599643
15 53.466559 6.867004 11.440206
16 53.466559 8.09477 11.755022
17 53.466559 8.560096 11.541782
18 53.466559 8.523368 12.027209
19 53.466559 7.257613 12.515638
20 53.466559 8.152496 11.428298
21 53.466559 8.510124 11.864552
22 53.466559 8.91521 12.226135
23 69.4822 8.648181 12.573728
24 69.4822 8.99963 12.272262
25 69.4822 10.453861 11.437092
26 69.4822 9.849811 11.837338
27 69.4822 11.638496 12.110741
28 69.4822 10.832709 12.095386
29 69.4822 11.650273 11.622584
30 69.4822 11.778161 12.094694
31 69.4822 10.943133 12.381556
32 69.4822 11.617949 12.585111
33 69.4822 11.989595 12.378426
34 69.4822 12.142 13.296436
35 69.4822 13.939444 12.333543
36 69.4822 12.401752 12.524483
37 69.4822 12.957154 12.590506
38 69.4822 12.37941 13.115012
39 69.4822 13.710132 12.844149
40 69.4822 13.66251 12.693477
41 69.4822 13.986742 13.644042
42 69.4822 14.189566 13.392151
43 69.4822 14.480757 13.726419
44 69.4822 14.553796 13.59801
45 69.4822 14.77267 12.209988
46 69.4822 15.388527 12.985199
47 83.871317 16.989274 14.949037
48 83.871317 17.489172 13.488026
49 83.871317 16.596718 13.240556
50 83.871317 17.78221 13.132729
51 83.871317 16.485346 14.171851
52 83.871317 16.338662 14.116196
53 83.871317 17.313309 14.064224
54 83.871317 17.596811 14.438015
55 83.871317 18.225599 13.451457
56 83.871317 17.683924 13.688743
57 83.871317 16.980421 14.210866
58 83.871317 18.099465 13.21648
59 83.871317 17.915009 13.874013
60 83.871317 19.820087 14.022579
61 83.871317 18.416976 14.181217
62 83.871317 17.730361 14.269519
63 83.871317 18.925903 14.366777
64 83.871317 19.203546 13.848803
65 83.871317 21.041947 13.10721
66 83.871317 20.540744 14.123308
67 83.871317 20.879644 14.672669
68 83.871317 20.199871 15.375598
69 83.871317 20.197919 15.142896
70 83.871317 20.23123 14.607174
71 83.871317 20.207247 15.413523
72 83.871317 21.720485 15.740768
73 83.871317 19.383818 15.647102
74 83.871317 20.130737 15.116178
75 83.871317 21.416724 15.070567
76 83.871317 21.087657 15.674773
77 85.888299 20.960657 15.718957
78 85.888299 21.180563 15.972461
79 85.888299 21.778766 15.327456
80 85.888299 23.713342 16.160181
81 85.888299 22.913005 16.905258
82 85.888299 22.546945 18.126776
83 85.888299 23.04965 18.103168
84 85.888299 23.402966 17.794635
85 85.888299 24.211419 16.85523
86 85.888299 25.138463 18.091362
87 85.888299 25.648549 18.226079
88 85.888299 24.668714 17.287897
89 85.888299 26.861865 18.510877
90 85.888299 27.861248 18.261069
91 85.888299 27.24624 19.558275
92 85.888299 27.728213 18.967654
93 85.888299 26.731132 19.327829
94 85.888299 27.181121 18.259752
95 85.888299 28.490594 18.816694
96 85.888299 27.794703 19.090814
97 85.888299 27.544688 19.090302
98 85.888299 26.992276 18.917536
99 85.888299 26.672038 19.235252
