

gen best mean std
0 48.910002 -5.015597 6.858752
0 50.355991 -3.174168 9.739517
1 56.17983 -1.764557 11.884434
2 67.497409 0.696234 15.369048
3 69.707091 1.52155 16.806365
4 69.707091 2.914166 17.123416
5 69.707091 4.901238 18.073868
6 70.983109 6.584559 19.615339
7 70.983109 8.622739 19.654796
8 86.33843 9.723237 20.609918
9 86.33843 11.454504 20.343309
10 86.33843 13.261868 20.339657
11 86.661127 14.016295 20.069645
12 86.661127 15.053768 20.176276
13 86.661127 16.776062 20.083546
14 86.661127 20.168495 20.066779
15 86.661127 19.667699 21.00831
16 86.661127 19.641833 20.786797
17 86.661127 19.363042 20.881645
18 86.661127 19.088086 20.352095
19 86.661127 20.880916 20.878444
20 86.661127 20.797179 20.535108
21 86.661127 20.647314 20.933416
22 86.661127 21.62025 20.696
23 86.661127 22.060608 21.944249
24 86.911877 21.912273 19.947904
25 86.911877 22.453277 20.139992
26 86.911877 21.721193 19.964761
27 86.911877 21.525967 21.721778
28 86.911877 22.434685 20.733017
29 86.911877 23.284685 20.890932
30 86.911877 24.424885 21.178622
31 86.911877 24.959005 21.823133
32 86.911877 23.281201 20.921533
33 88.083474 24.867926 20.728982
34 88.083474 23.56074 19.366244
35 88.083474 24.539329 21.307546
36 88.083474 25.033725 21.141983
37 88.083474 26.209388 20.932822
38 88.083474 25.684728 22.631451
39 88.083474 25.646696 22.354267
40 88.083474 25.983099 22.429423
41 88.083474 27.568334 21.911185
42 88.083474 29.025961 20.951135
43 88.083474 28.841844 21.635981
44 88.083474 27.058904 22.15202
45 88.083474 31.112021 22.111563
46 88.083474 30.161787 21.554951
47 88.083474 28.319261 22.383508
48 90.125172 30.002334 21.967921
49 90.125172 31.098369 22.449715
50 90.125172 32.335362 23.007529
51 90.125172 30.653938 23.155347
52 90.125172 30.581988 23.300715
53 90.125172 32.102189 22.30176
54 90.125172 32.561873 23.1973
55 90.125172 33.566376 21.311539
56 90.125172 32.253572 23.785548
57 90.125172 34.243284 21.314001
58 90.125172 33.088285 21.960182
59 90.125172 34.670815 21.487698
60 90.125172 35.111769 22.177454
61 90.125172 32.75802 22.262013
62 90.125172 34.852114 21.248603
63 90.125172 35.855987 22.506667
64 90.125172 35.442337 21.863095
65 90.125172 34.87158 22.460895
66 90.125172 36.050991 22.248386
67 90.125172 35.676573 21.773791
68 90.125172 35.941576 21.983541
69 90.125172 35.525572 22.874455
70 90.125172 35.732571 21.250796
71 90.125172 37.177033 22.570457
72 90.125172 35.77157 21.535875
73 90.125172 35.281982 23.009842
74 90.125172 34.74453 21.88935
75 90.125172 36.943184 21.069475
76 90.125172 36.049221 21.697429
77 90.125172 35.028158 22.095622
78 90.125172 37.582321 21.411238
79 90.125172 36.198153 22.584382
80 90.125172 37.682805 23.350392
81 90.125172 34.178306 22.937332
82 90.125172 34.710221 23.239002
83 90.125172 36.413509 22.179486
84 90.125172 35.674392 23.588131
85 90.125172 38.095074 23.191849
86 90.125172 37.08885 22.562951
87 90.125172 35.430514 23.399405
88 90.125172 35.533167 23.679875
89 90.125172 35.338336 24.085518
90 90.125172 37.882164 23.005978
91 90.125172 34.396693 23.462735
92 90.125172 33.610602 22.794708
93 90.125172 35.501182 22.788509
94 90.125172 36.650954 23.221106
95 90.125172 37.573399 22.431616
96 90.125172 36.017987 23.506668
97 90.125172 35.02252 23.32786
98 90.125172 37.639436 22.531281
99 90.125172 39.371732 22.561813
