

gen best mean std
0 87.139358 0.77377 17.612755
0 87.139358 6.29359 24.028167
1 87.139358 11.569158 27.876947
2 87.139358 15.443889 30.296772
3 88.070607 19.567268 31.647376
4 88.070607 26.872292 34.064684
5 88.070607 32.035832 33.807196
6 88.563229 30.308209 33.281141
7 88.563229 33.982349 33.114576
8 88.886695 39.241576 33.465358
9 88.886695 40.325192 32.730662
10 88.886695 43.686373 31.748823
11 89.246611 43.395817 32.48896
12 89.246611 47.30153 30.742173
13 89.246611 48.795367 30.350383
14 89.246611 49.726521 29.969766
15 89.246611 50.053641 29.302021
16 89.246611 51.558495 29.037262
17 89.246611 56.398297 26.408368
18 89.246611 53.66872 28.364117
19 89.246611 55.886907 27.006545
20 89.246611 56.148247 27.368248
21 89.246611 59.827709 23.882747
22 89.246611 59.624523 26.055802
23 89.246611 60.983526 24.543651
24 89.246611 63.093643 22.636368
25 89.246611 68.272679 15.816939
26 89.246611 66.880077 21.939192
27 89.246611 68.474792 21.270692
28 89.246611 65.557412 23.136521
29 89.246611 69.096383 21.273203
30 89.246611 73.357673 17.08772
31 89.246611 70.611928 21.826982
32 89.246611 73.699746 17.275495
33 89.246611 74.397194 17.703037
34 89.808788 73.739542 19.541495
35 89.808788 76.894309 14.194795
36 89.808788 73.199668 20.898096
37 89.808788 73.554604 21.253689
38 89.808788 73.889279 20.605217
39 89.808788 71.854675 24.073488
40 90.079688 78.306802 14.012876
41 90.079688 73.769443 23.551158
42 90.079688 74.88673 21.493242
43 90.079688 74.441761 20.765049
44 90.079688 73.996257 20.954473
45 90.079688 76.353729 17.533004
46 90.079688 75.000373 20.951453
47 90.079688 75.031274 20.196349
48 90.079688 75.678772 18.561781
49 90.079688 76.423971 18.43867
