

gen best mean std
0 66.774253 -1.327601 13.734104
0 66.774253 -0.879213 13.913308
1 66.774253 -0.552773 13.94232
2 66.774253 -0.35415 13.909171
3 66.774253 -0.225192 13.891722
4 66.774253 0.176494 14.040898
5 66.774253 2.607554 16.784224
6 66.774253 3.427245 17.560482
7 66.774253 4.587493 18.716134
8 66.774253 6.890939 20.670625
9 66.774253 7.900367 21.365961

gen best mean std
9 66.774253 7.900367 21.365961

gen best mean std
9 66.774253 7.900367 21.365961
9 87.237882 11.232824 25.364549
10 87.237882 23.23196 29.459244
11 87.237882 24.202063 32.217686
12 87.237882 29.890037 33.094043
13 89.23004 28.17428 31.805255
14 89.23004 30.311745 30.335908
15 89.23004 31.478667 32.086288
16 89.23004 41.110114 32.80724
17 89.23004 38.142298 32.934786
18 89.23004 36.170348 32.518367
19 89.23004 41.181607 33.026052
20 89.23004 42.213624 33.98864
21 89.23004 41.990639 33.78121
22 89.23004 45.716208 33.318852
23 89.23004 45.938901 32.910027
24 89.23004 49.8879 32.725769
25 89.23004 51.832499 32.238404
26 89.23004 50.905254 33.039224
27 89.23004 53.980331 30.602107
28 89.23004 52.956224 31.685715
29 89.23004 54.009173 29.913368
30 89.23004 61.725056 24.196488
31 89.23004 56.143983 30.178969
32 89.28188 61.138294 27.843374
33 89.28188 58.649135 31.326737
34 89.28188 58.438323 30.428538
35 89.403229 64.63177 27.626819
36 89.526794 56.405859 34.965589
37 89.526794 59.828337 32.818473
38 89.526794 56.882148 33.105082
39 89.526794 60.437119 32.786827
40 89.531732 67.299716 27.609845
41 89.531732 58.794248 33.488578
42 89.531732 59.556543 33.511595
43 89.531732 61.421191 31.170978
44 89.531732 63.749588 30.798825
45 89.531732 60.90298 30.41659
46 89.546695 62.589147 29.408393
47 89.546695 61.652349 30.40922
48 89.546695 66.549258 25.817149
49 89.546695 67.013526 26.067989

gen best mean std
49 89.546695 67.013526 26.067989
49 89.546695 71.748608 20.009517

gen best mean std
49 89.546695 71.748608 20.009517
49 89.546695 70.002326 22.157978

gen best mean std
49 89.546695 70.002326 22.157978
49 89.546695 68.313129 25.370285

gen best mean std
0 86.072828 1.29278 17.663829
0 87.237882 4.588519 23.083352
1 87.237882 6.837705 24.991905
2 89.163229 9.161241 26.724609
3 89.163229 12.504906 28.927659
4 89.163229 18.057185 31.67629
5 89.163229 23.788704 33.302538
6 89.163229 25.499224 33.143871
7 89.163229 31.744237 33.756195
8 89.163229 36.947508 33.690143
9 89.163229 38.634848 33.43741
10 89.163229 42.284334 32.47356
11 89.163229 45.010654 30.286511
12 89.163229 48.056878 31.236107
13 89.163229 49.947426 30.240937
14 89.163229 51.390509 28.827084
15 89.163229 56.272103 24.805916
16 89.163229 52.922934 28.473106
17 89.163229 56.858035 26.908872
18 89.163229 54.825411 26.906741
19 89.163229 56.616911 25.760349
20 89.163229 61.950768 21.442038
21 89.163229 58.992242 24.39207
22 89.551733 61.474819 22.62737
23 89.551733 59.742578 23.833249
24 89.551733 61.094945 24.318221
25 89.551733 65.923841 18.592245
26 89.551733 63.390237 22.826325
27 89.551733 60.554888 26.701348
28 89.551733 62.40339 27.22514
29 89.551733 63.226407 25.509859
30 89.551733 65.329181 24.916233
31 89.551733 64.764994 25.962261
32 89.551733 65.371071 24.153826
33 89.551733 64.801336 24.08962
34 89.551733 69.233876 21.948974
35 89.551733 71.067805 19.856956
36 89.551733 68.054072 24.06727
37 91.172892 69.236282 24.1541
38 91.172892 68.38665 26.079525
39 91.172892 69.00462 25.381817
40 91.172892 76.775415 14.569341
41 91.172892 68.556051 27.030597
42 91.172892 71.066582 24.200209
43 91.172892 71.615562 23.952178
44 91.172892 74.074332 21.55383
45 91.172892 74.410495 22.554553
46 91.172892 73.56501 23.097872
47 91.172892 73.307039 23.534593
48 91.172892 72.781211 24.169312
49 91.172892 75.929927 19.397317

gen best mean std
49 91.172892 75.929927 19.397317
49 91.172892 74.393426 21.855336

gen best mean std
49 91.172892 74.393426 21.855336

gen best mean std
49 91.172892 74.393426 21.855336

gen best mean std
49 91.172892 74.393426 21.855336
49 91.172892 75.255397 22.031395

gen best mean std
49 91.172892 75.255397 22.031395
